indexDados;codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;horarioSeparado;percDisciplina;salaSeparada;predio;lotacao;percOcupacaoReal;percOcupacaoTotal
278;FGA0214 - TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA;2;2022;2;BRUNO LUIZ PEREIRA;60h;25T23;16;10;FGA - SALA I5 e MULTIUSO (Fund.Veículos Elétricos);;;I5;;;;
279;FGA0214 - TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA;2;2022;2;BRUNO LUIZ PEREIRA;60h;25T23;16;10;FGA - SALA I5 e MULTIUSO (Fund.Veículos Elétricos);;;Multi.;;;;
280;FGA0219 - PROCESSAMENTO DE SINAIS;1;2022;2;CRISTIANO JACQUES MIOSSO RODRIGUES MENDES;60h;46M12;45;19;FGA - SALA MOCAP / SALA I1;;;Mocap;;;;
281;FGA0219 - PROCESSAMENTO DE SINAIS;1;2022;2;CRISTIANO JACQUES MIOSSO RODRIGUES MENDES;60h;46M12;45;19;FGA - SALA MOCAP / SALA I1;;;I1;;;;
282;FGA0221 - INTELIGÊNCIA ARTIFICIAL;1;2022;2;FABIANO ARAUJO SOARES;60h;35T45;45;35;FGA - SALA I1;;;I1;;;;
283;FGA0224 - COMUNICAÇÕES DIGITAIS PARA ENGENHARIA;1;2022;2;DANIEL COSTA ARAUJO;60h;35M34;20;5;FGA - I7;;;I7;;;;
284;FGA0226 - ELETRÔNICA VEICULAR;1;2022;2;EVANDRO LEONARDO SILVA TEIXEIRA;60h;35M34;16;12;FGA - LAB SHP;;;Cont-8-SHP;;;;
285;FGA0228 - PROJETO DE SISTEMAS AUTOMOTIVOS;1;2022;2;CARLA TATIANA MOTA ANFLOR;60h;24M12;45;10;FGA - SALA S5;;;S5;;;;
286;FGA0229 - ANÁLISE ESTRUTURAL MÉTODO DOS ELEMENTOS FINITOS;1;2022;2;MAURA ANGELICA MILFONT SHZU;60h;35T23;40;12;FGA - SALA I6;;;I6;;;;
287;FGA0230 - DINÂMICA DE VEÍCULOS;1;2022;2;SUZANA MOREIRA AVILA;60h;35M12;30;7;FGA - SALA I8;;;I8;;;;
